                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                  1.161,                0.71567,                0.88253,                0.41145,                0.39707,                0.33023,                0.18376,                 1.5382,                 1.7912,                 1.0111,             0.00015755,             0.00015755,             0.00015755
                    118,                 1.1355,                0.71475,                0.88102,                 0.3619,                0.38506,                0.30114,                0.17023,                 1.5576,                 1.9527,                  1.015,             0.00015571,             0.00015571,             0.00015571
                    119,                 1.1441,                0.71795,                0.87727,                0.40259,                0.39162,                0.32053,                0.17764,                 1.5527,                 1.8779,                 1.0154,             0.00015388,             0.00015388,             0.00015388
                    120,                  1.138,                0.70883,                   0.88,                0.38508,                0.36689,                0.31901,                0.17962,                  1.546,                 1.8787,                 1.0139,             0.00015205,             0.00015205,             0.00015205
                    121,                 1.1294,                0.69891,                 0.8742,                0.34972,                0.40627,                0.31661,                0.17886,                 1.5581,                 1.7894,                 1.0148,             0.00015022,             0.00015022,             0.00015022
                    122,                   1.14,                0.71021,                0.87891,                0.40224,                0.38663,                0.33172,                0.18541,                 1.5492,                 1.8694,                 1.0093,             0.00014839,             0.00014839,             0.00014839
                    123,                 1.1576,                0.71627,                0.87639,                0.45795,                 0.3269,                0.31888,                 0.1792,                  1.547,                 1.8442,                 1.0142,             0.00014656,             0.00014656,             0.00014656
                    124,                 1.1311,                0.71158,                0.87561,                0.35003,                0.43072,                0.31423,                0.17521,                 1.5463,                 1.8006,                 1.0181,             0.00014473,             0.00014473,             0.00014473
                    125,                 1.1158,                0.69092,                0.87808,                0.36139,                0.37974,                0.31254,                0.17675,                 1.5598,                 1.9038,                 1.0159,             0.00014289,             0.00014289,             0.00014289
                    126,                 1.1135,                0.69793,                0.87808,                0.42044,                0.32871,                0.30955,                0.16868,                 1.6119,                  1.877,                  1.028,             0.00014106,             0.00014106,             0.00014106
                    127,                 1.1158,                0.69058,                0.87351,                0.47935,                0.32996,                0.32462,                0.18164,                  1.542,                 1.8215,                 1.0105,             0.00013923,             0.00013923,             0.00013923
                    128,                 1.1282,                0.68459,                0.88056,                0.46412,                0.32229,                  0.336,                0.18743,                 1.5585,                 1.8852,                 1.0093,              0.0001374,              0.0001374,              0.0001374
                    129,                 1.1329,                0.69864,                0.88219,                0.40538,                0.33778,                0.32342,                0.18152,                 1.5517,                 1.8597,                 1.0091,             0.00013557,             0.00013557,             0.00013557
                    130,                  1.139,                0.70663,                0.87781,                0.35752,                0.37263,                0.30511,                0.17365,                 1.5575,                 1.8934,                 1.0076,             0.00013374,             0.00013374,             0.00013374
                    131,                  1.129,                0.70441,                0.88018,                0.37726,                0.35101,                0.31055,                 0.1762,                 1.5315,                 1.8422,                 1.0052,             0.00013191,             0.00013191,             0.00013191
                    132,                 1.1391,                0.69323,                0.88394,                0.32987,                0.36365,                0.30017,                0.16987,                 1.5845,                 1.9287,                 1.0183,             0.00013007,             0.00013007,             0.00013007
                    133,                 1.1409,                0.69825,                0.87726,                0.40529,                0.33613,                0.32104,                0.17719,                 1.5832,                  1.861,                 1.0199,             0.00012824,             0.00012824,             0.00012824
                    134,                 1.1088,                 0.6899,                0.87151,                0.35077,                0.36357,                0.30927,                0.17552,                 1.5259,                 1.9407,                 1.0084,             0.00012641,             0.00012641,             0.00012641
                    135,                 1.1058,                0.67675,                0.87594,                0.34617,                0.38323,                0.31811,                0.17599,                 1.6003,                 1.9318,                 1.0275,             0.00012458,             0.00012458,             0.00012458
                    136,                 1.1092,                0.67063,                0.87572,                0.36939,                0.35061,                0.32107,                0.18115,                 1.5505,                 1.9077,                 1.0123,             0.00012275,             0.00012275,             0.00012275
                    137,                 1.1051,                0.68192,                0.86895,                 0.3598,                0.36109,                0.31102,                0.17893,                 1.5541,                 1.9043,                 1.0113,             0.00012092,             0.00012092,             0.00012092
                    138,                  1.111,                0.69022,                0.87662,                0.32209,                0.40954,                0.31139,                0.17565,                 1.5595,                 1.9102,                 1.0151,             0.00011908,             0.00011908,             0.00011908
                    139,                 1.1401,                0.69838,                0.87876,                 0.4377,                0.33428,                0.31227,                0.17783,                 1.5597,                 1.8744,                 1.0099,             0.00011725,             0.00011725,             0.00011725
                    140,                 1.0917,                0.67451,                0.87402,                0.42316,                0.36169,                 0.3311,                0.18677,                 1.5349,                  1.832,                 1.0058,             0.00011542,             0.00011542,             0.00011542
                    141,                 1.1135,                0.68531,                0.87035,                0.34575,                0.39784,                0.32619,                0.18134,                 1.5338,                 1.8586,                 1.0024,             0.00011359,             0.00011359,             0.00011359
                    142,                  1.079,                0.66508,                0.87163,                0.46996,                0.34173,                0.34368,                0.18892,                 1.5289,                 1.8265,                 1.0046,             0.00011176,             0.00011176,             0.00011176
                    143,                 1.0893,                0.66935,                0.87073,                 0.3997,                0.37548,                0.33484,                0.18553,                 1.5237,                 1.8193,                 1.0065,             0.00010993,             0.00010993,             0.00010993
                    144,                 1.1102,                0.68665,                0.87241,                0.38003,                0.38374,                0.33577,                0.18475,                 1.5478,                 1.8346,                   1.01,              0.0001081,              0.0001081,              0.0001081
                    145,                 1.0912,                0.66279,                0.87154,                0.38669,                0.39705,                0.33686,                0.18999,                 1.5133,                 1.8496,                 1.0022,             0.00010626,             0.00010626,             0.00010626
                    146,                 1.0793,                0.65039,                0.86591,                0.38068,                0.38104,                0.32204,                0.18186,                 1.5511,                 1.8622,                 1.0077,             0.00010443,             0.00010443,             0.00010443
                    147,                 1.0836,                0.66068,                 0.8708,                  0.382,                0.37031,                0.32189,                0.18232,                 1.5437,                 1.8702,                  1.009,              0.0001026,              0.0001026,              0.0001026
                    148,                 1.1064,                 0.6779,                0.87171,                0.36915,                0.37977,                0.32563,                0.18404,                 1.5462,                 1.9326,                 1.0141,             0.00010077,             0.00010077,             0.00010077
                    149,                 1.0467,                0.63996,                0.86311,                 0.3681,                0.36229,                0.31523,                0.18089,                 1.5468,                 1.9093,                 1.0091,             9.8938e-05,             9.8938e-05,             9.8938e-05
